t0,t1,t2,t3,t4,mrr10,mean_batch_latency_ms,exit_count_0,exit_count_1,exit_count_2,exit_count_3,exit_count_4,exit_count_5
0.001,0.01,0.001,0.001,0.001,0.5611111111111111,18.82885887145996,1061,36655,3238,2642,1527,3725
0.001,0.01,0.001,0.001,0.003,0.5592592592592592,18.77413571357727,1061,36655,3238,2642,2459,2793
0.001,0.01,0.001,0.001,0.01,0.5572751322751323,18.70291973114014,1061,36655,3238,2642,3297,1955
0.001,0.01,0.001,0.001,0.03,0.5497648442092886,18.62645248413086,1061,36655,3238,2642,3929,1323
0.001,0.01,0.001,0.001,0.1,0.5493239271017049,18.565894069671632,1061,36655,3238,2642,4463,789
0.001,0.01,0.001,0.001,0.3,0.5474500293944738,18.53463779449463,1061,36655,3238,2642,4864,388
0.001,0.01,0.001,0.001,0.5,0.5474500293944738,18.466899127960204,1061,36655,3238,2642,5060,192
0.001,0.01,0.001,0.003,0.001,0.5611111111111111,18.691143321990968,1061,36655,3238,3833,656,3405
0.001,0.01,0.001,0.003,0.003,0.5592592592592592,18.72988928794861,1061,36655,3238,3833,1358,2703
0.001,0.01,0.001,0.003,0.01,0.5572751322751323,18.708032379150392,1061,36655,3238,3833,2124,1937
0.001,0.01,0.001,0.003,0.03,0.5497648442092886,18.619454641342163,1061,36655,3238,3833,2745,1316
0.001,0.01,0.001,0.003,0.1,0.5493239271017049,18.52009373664856,1061,36655,3238,3833,3273,788
0.001,0.01,0.001,0.003,0.3,0.5474500293944738,18.5751135635376,1061,36655,3238,3833,3673,388
0.001,0.01,0.001,0.003,0.5,0.5474500293944738,18.401344270706176,1061,36655,3238,3833,3869,192
0.001,0.01,0.001,0.01,0.001,0.5395282186948853,18.38512894630432,1061,36655,3238,4999,171,2724
0.001,0.01,0.001,0.01,0.003,0.5395282186948853,18.443709754943846,1061,36655,3238,4999,515,2380
0.001,0.01,0.001,0.01,0.01,0.5398589065255732,18.493222045898438,1061,36655,3238,4999,1062,1833
0.001,0.01,0.001,0.01,0.03,0.5308054085831864,18.468461723327636,1061,36655,3238,4999,1604,1291
0.001,0.01,0.001,0.01,0.1,0.5303644914756026,18.358750696182252,1061,36655,3238,4999,2109,786
0.001,0.01,0.001,0.01,0.3,0.5284905937683716,18.32709499359131,1061,36655,3238,4999,2507,388
0.001,0.01,0.001,0.01,0.5,0.5284905937683716,18.242695369720458,1061,36655,3238,4999,2703,192
0.001,0.01,0.001,0.03,0.001,0.5390358612580834,18.103193197250366,1061,36655,3238,6039,21,1834
0.001,0.01,0.001,0.03,0.003,0.5390358612580834,18.16993730545044,1061,36655,3238,6039,108,1747
0.001,0.01,0.001,0.03,0.01,0.5390358612580834,18.242643547058105,1061,36655,3238,6039,332,1523
0.001,0.01,0.001,0.03,0.03,0.5300338036449147,18.21806685447693,1061,36655,3238,6039,654,1201
0.001,0.01,0.001,0.03,0.1,0.5300338036449147,18.387855730056764,1061,36655,3238,6039,1080,775
0.001,0.01,0.001,0.03,0.3,0.5280496766607877,18.13299494743347,1061,36655,3238,6039,1467,388
0.001,0.01,0.001,0.03,0.5,0.5280496766607877,18.062971839904787,1061,36655,3238,6039,1663,192
0.001,0.01,0.001,0.1,0.001,0.5344576719576719,17.77273283958435,1061,36655,3238,6916,1,977
0.001,0.01,0.001,0.1,0.003,0.5344576719576719,17.75974949836731,1061,36655,3238,6916,4,974
0.001,0.01,0.001,0.1,0.01,0.5344576719576719,17.781110410690307,1061,36655,3238,6916,22,956
0.001,0.01,0.001,0.1,0.03,0.5344576719576719,17.765632638931276,1061,36655,3238,6916,95,883
0.001,0.01,0.001,0.1,0.1,0.5344576719576719,17.80371648788452,1061,36655,3238,6916,299,679
0.001,0.01,0.001,0.1,0.3,0.5329144620811287,17.817014436721802,1061,36655,3238,6916,600,378
0.001,0.01,0.001,0.1,0.5,0.5329144620811287,17.784853734970092,1061,36655,3238,6916,786,192
0.001,0.01,0.001,0.3,0.001,0.5344576719576719,17.555343284606934,1061,36655,3238,7511,0,383
0.001,0.01,0.001,0.3,0.003,0.5344576719576719,17.56325535774231,1061,36655,3238,7511,0,383
0.001,0.01,0.001,0.3,0.01,0.5344576719576719,17.612455129623413,1061,36655,3238,7511,0,383
0.001,0.01,0.001,0.3,0.03,0.5344576719576719,17.70639709472656,1061,36655,3238,7511,1,382
0.001,0.01,0.001,0.3,0.1,0.5344576719576719,17.551163892745972,1061,36655,3238,7511,20,363
0.001,0.01,0.001,0.3,0.3,0.5344576719576719,17.55469081878662,1061,36655,3238,7511,89,294
0.001,0.01,0.001,0.3,0.5,0.5344576719576719,17.57362714767456,1061,36655,3238,7511,203,180
0.001,0.01,0.001,0.5,0.001,0.5437169312169312,17.442793941497804,1061,36655,3238,7727,0,167
0.001,0.01,0.001,0.5,0.003,0.5437169312169312,17.449407052993774,1061,36655,3238,7727,0,167
0.001,0.01,0.001,0.5,0.01,0.5437169312169312,17.439381160736083,1061,36655,3238,7727,0,167
0.001,0.01,0.001,0.5,0.03,0.5437169312169312,17.433486404418947,1061,36655,3238,7727,0,167
0.001,0.01,0.001,0.5,0.1,0.5437169312169312,17.60782531738281,1061,36655,3238,7727,0,167
0.001,0.01,0.001,0.5,0.3,0.5437169312169312,17.574939851760863,1061,36655,3238,7727,7,160
0.001,0.01,0.001,0.5,0.5,0.5437169312169312,17.459897527694704,1061,36655,3238,7727,37,130
0.001,0.01,0.003,0.001,0.001,0.5611111111111111,18.707272081375123,1061,36655,4665,1376,1412,3679
0.001,0.01,0.003,0.001,0.003,0.5592592592592592,18.726669435501098,1061,36655,4665,1376,2318,2773
0.001,0.01,0.003,0.001,0.01,0.5572751322751323,18.619337043762208,1061,36655,4665,1376,3144,1947
0.001,0.01,0.003,0.001,0.03,0.5497648442092886,18.510653076171874,1061,36655,4665,1376,3770,1321
0.001,0.01,0.003,0.001,0.1,0.5493239271017049,18.40452010154724,1061,36655,4665,1376,4302,789
0.001,0.01,0.003,0.001,0.3,0.5474500293944738,18.35733120918274,1061,36655,4665,1376,4703,388
0.001,0.01,0.003,0.001,0.5,0.5474500293944738,18.2741535282135,1061,36655,4665,1376,4899,192
0.001,0.01,0.003,0.003,0.001,0.5611111111111111,18.53754276275635,1061,36655,4665,2437,643,3387
0.001,0.01,0.003,0.003,0.003,0.5592592592592592,18.545442590713503,1061,36655,4665,2437,1340,2690
0.001,0.01,0.003,0.003,0.01,0.5572751322751323,18.5053085231781,1061,36655,4665,2437,2099,1931
0.001,0.01,0.003,0.003,0.03,0.5497648442092886,18.428823976516725,1061,36655,4665,2437,2715,1315
0.001,0.01,0.003,0.003,0.1,0.5493239271017049,18.319550065994264,1061,36655,4665,2437,3242,788
0.001,0.01,0.003,0.003,0.3,0.5474500293944738,18.270783720016478,1061,36655,4665,2437,3642,388
0.001,0.01,0.003,0.003,0.5,0.5474500293944738,18.183576002120972,1061,36655,4665,2437,3838,192
0.001,0.01,0.003,0.01,0.001,0.5395282186948853,18.183139810562135,1061,36655,4665,3576,171,2720
0.001,0.01,0.003,0.01,0.003,0.5395282186948853,18.23211357116699,1061,36655,4665,3576,514,2377
0.001,0.01,0.003,0.01,0.01,0.5398589065255732,18.26781064033508,1061,36655,4665,3576,1059,1832
0.001,0.01,0.003,0.01,0.03,0.5308054085831864,18.232837400436402,1061,36655,4665,3576,1600,1291
0.001,0.01,0.003,0.01,0.1,0.5303644914756026,18.339236087799073,1061,36655,4665,3576,2105,786
0.001,0.01,0.003,0.01,0.3,0.5284905937683716,18.159208641052246,1061,36655,4665,3576,2503,388
0.001,0.01,0.003,0.01,0.5,0.5284905937683716,18.060718383789062,1061,36655,4665,3576,2699,192
0.001,0.01,0.003,0.03,0.001,0.5390358612580834,17.89593189239502,1061,36655,4665,4612,21,1834
0.001,0.01,0.003,0.03,0.003,0.5390358612580834,17.91096384048462,1061,36655,4665,4612,108,1747
0.001,0.01,0.003,0.03,0.01,0.5390358612580834,17.97113218307495,1061,36655,4665,4612,332,1523
0.001,0.01,0.003,0.03,0.03,0.5300338036449147,17.979976606369018,1061,36655,4665,4612,654,1201
0.001,0.01,0.003,0.03,0.1,0.5300338036449147,17.926947441101074,1061,36655,4665,4612,1080,775
0.001,0.01,0.003,0.03,0.3,0.5280496766607877,17.907368297576905,1061,36655,4665,4612,1467,388
0.001,0.01,0.003,0.03,0.5,0.5280496766607877,17.844759101867677,1061,36655,4665,4612,1663,192
0.001,0.01,0.003,0.1,0.001,0.5344576719576719,17.56973726272583,1061,36655,4665,5489,1,977
0.001,0.01,0.003,0.1,0.003,0.5344576719576719,17.564006958007813,1061,36655,4665,5489,4,974
0.001,0.01,0.003,0.1,0.01,0.5344576719576719,17.558803806304933,1061,36655,4665,5489,22,956
0.001,0.01,0.003,0.1,0.03,0.5344576719576719,17.574564838409422,1061,36655,4665,5489,95,883
0.001,0.01,0.003,0.1,0.1,0.5344576719576719,17.758251819610596,1061,36655,4665,5489,299,679
0.001,0.01,0.003,0.1,0.3,0.5329144620811287,17.651364793777464,1061,36655,4665,5489,600,378
0.001,0.01,0.003,0.1,0.5,0.5329144620811287,17.607965517044068,1061,36655,4665,5489,786,192
0.001,0.01,0.003,0.3,0.001,0.5344576719576719,17.364764757156372,1061,36655,4665,6084,0,383
0.001,0.01,0.003,0.3,0.003,0.5344576719576719,17.344147157669067,1061,36655,4665,6084,0,383
0.001,0.01,0.003,0.3,0.01,0.5344576719576719,17.362873277664185,1061,36655,4665,6084,0,383
0.001,0.01,0.003,0.3,0.03,0.5344576719576719,17.37294753074646,1061,36655,4665,6084,1,382
0.001,0.01,0.003,0.3,0.1,0.5344576719576719,17.382548503875732,1061,36655,4665,6084,20,363
0.001,0.01,0.003,0.3,0.3,0.5344576719576719,17.386026906967164,1061,36655,4665,6084,89,294
0.001,0.01,0.003,0.3,0.5,0.5344576719576719,17.395004472732545,1061,36655,4665,6084,203,180
0.001,0.01,0.003,0.5,0.001,0.5437169312169312,17.27190233230591,1061,36655,4665,6300,0,167
0.001,0.01,0.003,0.5,0.003,0.5437169312169312,17.35443572998047,1061,36655,4665,6300,0,167
0.001,0.01,0.003,0.5,0.01,0.5437169312169312,17.326550340652467,1061,36655,4665,6300,0,167
0.001,0.01,0.003,0.5,0.03,0.5437169312169312,17.3662380027771,1061,36655,4665,6300,0,167
0.001,0.01,0.003,0.5,0.1,0.5437169312169312,17.29407459259033,1061,36655,4665,6300,0,167
0.001,0.01,0.003,0.5,0.3,0.5437169312169312,17.270043468475343,1061,36655,4665,6300,7,160
0.001,0.01,0.003,0.5,0.5,0.5437169312169312,17.27976725578308,1061,36655,4665,6300,37,130
0.001,0.01,0.01,0.001,0.001,0.5377057613168724,18.247000255584716,1061,36655,6298,392,1040,3402
0.001,0.01,0.01,0.001,0.003,0.5358539094650205,18.283961658477782,1061,36655,6298,392,1800,2642
0.001,0.01,0.01,0.001,0.01,0.5353909465020577,18.21342752456665,1061,36655,6298,392,2540,1902
