t0,t1,t2,t3,t4,patience,mrr10,mean_batch_latency_ms,exit_count_0,exit_count_1,exit_count_2,exit_count_3,exit_count_4,exit_count_5
0.03,0.03,0.001,0.001,0.001,2,0.5030276308054086,18.72238600730896,0,40133,2323,831,1554,4007
0.03,0.03,0.001,0.001,0.003,2,0.5030276308054086,18.722476720809937,0,40133,2323,831,1609,3952
0.03,0.03,0.001,0.001,0.01,2,0.5030276308054086,18.740946311950683,0,40133,2323,831,1620,3941
0.03,0.03,0.001,0.001,0.03,2,0.5030276308054086,18.730914154052734,0,40133,2323,831,1620,3941
0.03,0.03,0.001,0.001,0.1,2,0.5030276308054086,18.73740644454956,0,40133,2323,831,1620,3941
0.03,0.03,0.001,0.001,0.3,2,0.5030276308054086,18.73944595336914,0,40133,2323,831,1620,3941
0.03,0.03,0.001,0.001,0.5,2,0.5030276308054086,18.744122648239134,0,40133,2323,831,1620,3941
0.03,0.03,0.001,0.003,0.001,2,0.5030276308054086,18.701352043151857,0,40133,2323,835,2136,3421
0.03,0.03,0.001,0.003,0.003,2,0.5030276308054086,18.69308732032776,0,40133,2323,835,2348,3209
0.03,0.03,0.001,0.003,0.01,2,0.5030276308054086,18.70511660575867,0,40133,2323,835,2398,3159
0.03,0.03,0.001,0.003,0.03,2,0.5030276308054086,18.70918424606323,0,40133,2323,835,2404,3153
0.03,0.03,0.001,0.003,0.1,2,0.5030276308054086,18.703198747634886,0,40133,2323,835,2410,3147
0.03,0.03,0.001,0.003,0.3,2,0.5030276308054086,18.70668899536133,0,40133,2323,835,2411,3146
0.03,0.03,0.001,0.003,0.5,2,0.5030276308054086,18.712216691970823,0,40133,2323,835,2411,3146
0.03,0.03,0.001,0.01,0.001,2,0.5030276308054086,18.72713459968567,0,40133,2323,836,2488,3068
0.03,0.03,0.001,0.01,0.003,2,0.5026969429747208,18.667148113250732,0,40133,2323,836,2946,2610
0.03,0.03,0.001,0.01,0.01,2,0.500382128159906,18.631339864730833,0,40133,2323,836,3138,2418
0.03,0.03,0.001,0.01,0.03,2,0.500382128159906,18.62412858963013,0,40133,2323,836,3191,2365
0.03,0.03,0.001,0.01,0.1,2,0.500382128159906,18.638592052459718,0,40133,2323,836,3215,2341
0.03,0.03,0.001,0.01,0.3,2,0.500382128159906,18.638021326065065,0,40133,2323,836,3217,2339
0.03,0.03,0.001,0.01,0.5,2,0.500382128159906,18.641236810684205,0,40133,2323,836,3217,2339
0.03,0.03,0.001,0.03,0.001,2,0.5030276308054086,18.746503009796143,0,40133,2323,836,2606,2950
0.03,0.03,0.001,0.03,0.003,2,0.5026969429747208,18.71566786766052,0,40133,2323,836,3257,2299
0.03,0.03,0.001,0.03,0.01,2,0.500382128159906,18.631986236572267,0,40133,2323,836,3681,1875
0.03,0.03,0.001,0.03,0.03,2,0.49945620223398,18.659555854797365,0,40133,2323,836,3896,1660
0.03,0.03,0.001,0.03,0.1,2,0.49945620223398,18.62608190536499,0,40133,2323,836,3969,1587
